Age,DailyRate,DistanceFromHome,Education,Gender,HourlyRate,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,YearsWithCurrManager,TotalWorkingYears,Attrition
23,541,2,1,1,62,1,2322,9518,3,0,3,No
51,432,9,4,1,96,4,2075,18725,3,3,10,No
30,288,2,3,1,99,4,4152,15830,1,8,11,No
46,669,9,2,1,64,4,9619,13596,1,7,9,Yes
40,530,1,4,1,78,2,13503,14115,1,11,22,No
51,632,21,4,1,71,4,5441,8423,0,0,11,No
30,1334,4,2,0,63,2,5209,19760,1,7,11,No
46,638,1,3,1,40,1,10673,3142,2,5,21,No
32,1093,6,4,1,87,3,5010,24301,1,7,12,No
54,1217,2,4,0,60,3,13549,24001,9,3,16,No
24,1353,3,2,0,33,3,4999,17519,0,2,4,No
28,120,4,3,1,43,3,4221,8863,1,4,5,No
58,682,10,4,1,37,3,13872,24409,0,8,38,No
44,489,23,3,1,67,2,2042,25043,4,2,17,No
37,807,6,4,1,63,1,2073,23648,4,2,7,Yes
32,827,1,1,1,71,1,2956,15178,1,0,1,No
20,871,6,3,0,66,4,2926,19783,1,0,1,Yes
34,665,6,4,0,41,3,4809,12482,1,10,16,No
37,1040,2,2,1,100,4,5163,15850,5,0,17,No
59,1420,2,4,0,32,4,18844,21922,9,2,30,No
50,1115,1,3,0,73,2,18172,9755,3,4.04037724,28,No
25,240,5,3,1,46,3,5744,26959,1,3,6,Yes
25,1280,7,1,1,64,4,2889,26897,1,1,2,No
22,534,15,3,0,59,4,2871,23785,1,0,1,No
51,1456,1,4,0,30,1,7484,25796,3,8,23,No
34,658,7,3,1,66,3,6074,22887,1,6,9,Yes
54,142,26,3,0,30,4,17328,13871,2,4,23,No
24,1127,18,1,1,52,3,2774,13257,0,2,6,No
34,1031,6,4,0,45,2,4505,15000,6,0,12,No
37,1189,3,3,1,87,4,7428,14506,2,3,12,No
34,1354,5,3,0,45,1,11631,5615,2,8,14,No
36,1467,11,2,0,92,4,9738,22952,0,8,10,No
36,922,3,2,0,39,4,2835,2561,5,0,7,No
43,394,26,2,1,92,4,16959,19494,1,12,25,No
30,1312,23,3,1,96,3,2613,22310,1,9,10,No
33,750,22,2,1,95,2,6146,15480,0,7,8,No
56,441,14,4,0,72,2,4963,4510,9,3,7,Yes
51,684,6,3,1,51,3,19537,6462,7,15,23,No
31,249,6,4,1,76,3,6172,20739,4,7,12,Yes
26,841,6,3,0,46,2,2368,23300,1,3,5,No
58,147,23,4,0,94,4,10312,3465,1,6,40,Yes
19,528,22,1,1,50,3,1675,26820,1,0,0,Yes
22,594,2,1,1,100,4,2523,19299,0,1,3,No
49,470,20,4,0,96,1,6567,5549,1,11,16,No
43,957,28,3,0,72,3,4739,16090,4,2,18,No
50,809,12,3,0,77,4,9208,6645,4,1,16,No
31,542,20,3,0,71,3,4559,24788,3,2,4,Yes
41,802,9,1,1,96,3,8189,21196,3,7,12,No
26,1355,25,1,0,61,3,2942,8916,1,7,8,No
36,216,6,2,1,84,2,4941,2819,6,1,7,No
51,1150,8,4,1,53,4,10650,25150,2,3,18,Yes
39,1329,4,4,0,47,3,5902,14590,4,9,17,No
25,959,28,3,1,41,3,8639,24835,2,2,6,No
30,1240,9,3,1,48,4,6347,13982,0,7,12,No
32,1033,9,3,0,41,1,4200,10224,7,4,10,Yes
45,1316,29,3,1,83,4,3452,9752,5,3,9,No
38,364,3,5,0,32,3,4317,2302,3,2,19,No
30,438,18,3,0,75,3,2632,23910,1,4,5,No
32,689,9,2,1,35,4,4668,22812,0,7,9,No
30,201,5,3,0,84,1,3204,10415,5,2,8,No
30,1427,2,1,1,35,4,2720,11162,0,2,6,No
41,857,10,3,1,91,1,17181,12888,4,7,21,No
41,933,9,4,1,94,1,2238,6961,2,4,7,No
19,1181,3,1,0,79,2,1483,16102,1,0,1,No
40,1395,26,3,0,54,2,5605,8504,1,13,20,No
35,662,1,5,1,94,2,7295,11439,1,6,10,No
53,1436,6,2,1,34,3,2306,16047,2,5,13,No
45,194,9,3,1,60,2,2348,10901,8,15,20,No
32,967,8,3,0,43,4,8998,15589,1,7,9,No
29,1496,1,1,1,41,3,4319,26283,1,9,10,No
51,1169,7,4,1,34,3,6132,13983,2,0,10,No
58,1145,9,3,0,75,2,3346,11873,4,0,9,No
40,630,4,4,1,67,4,10855,8552,7,11,15,No
34,303,2,4,0,75,3,2231,11314,6,2,6,No
22,1256,19,1,1,80,4,2323,11992,1,2,2,No
27,691,9,3,1,57,2,2024,5970,6,2,6,No
28,440,21,3,1,42,4,2713,6672,1,2,5,No
57,334,24,2,1,65.84941821,4,9439,23402,3,4,12,No
27,1450,3,3,1,79,3,2566,25326,1,1,1,No
50,1452,11,3,0,53,2,19926,17053,3,4,21,No
41,465,14,3,1,56,3,2451,4609,4,8,13,No
30,1339,5,3,0,41,4,9419,8053,2,4,12,No
38,702,1,4,0,65.84941821,4,8686,12930,4,7,12,No
32,120,6,5,1,43,3,3038,12430,3,4,8,No
27,1157,17,3,1,51,2,3058,13364,0,1,6,No
19,602,1,1,0,100,1,2325,20989,0,0,1,Yes
36,1480,3,2,1,30,2,2088,15062,4,2,13,No
30,111,9,3,1,66,1,3072,11012,1,10,12,No
45,1268,4,2,0,30,1,5006,6319,4,3,9,No
56,713,9.19193989,3,0,67,1,4257,13939,4,2,19,No
33,134,2,3,1,90,4,2500,10515,0,2,4,No
19,303,2,3,1,47,4,1102,9241,1,0,1,Yes
46,526,1,2,0,92,1,10453,2137,1,7,24,No
38,1380,9,2,0,75,4,2288,6319,1,1,2,No
31,140,12,1,0,95,4,3929,6984,8,2,7,No
34,629,27,2,0,95,2,2311,5711,2,2,9,No
41,1356,20,2,0,70,2,3140,21728,1,2,4,Yes
50,328,1,3,1,86,3,3690,3425,2,2,5,No
53,1084,13,2,0,57,1,4450,26250,1,3,5,No
33,931,14,3,0,72,2,2756,4673,1,6,8,No
40,989,4,1,0,46,3,19033,6499,1,9,21,No
55,692,14,4,1,61,2,18722,13339,8,15,36,No
34,1069,2,1,1,45,3,9547,14074,1,9,10,No
51,313,3,3,0,98,2,13734,7192,3,0,21,No
52,699,1,4,1,65,3,19999,5678,0,9,34,No
27,894,9,3,0,99,2,2279,11781,1,3,7,No
35,556,23,2,1,50,3,5916,15497,3,1,8,Yes
43,1344,7,3,1,37,4,2089,5228,4,2,7,No
45,1195,2,2,1,65,4,16792,20462,9,8,22,No
37,290,21,3,1,65,1,3564,22977,1,7,8,No
35,138,2,3,0,37,2,4425,15986,5,2,10,No
42,926,21,2,0,36,3,5265,16439,2,2,11,No
38,1261,2,4,1,88,3,6553,7259,9,0,14,No
38,1084,29,3,1,54,4,6261,4185,3,7,9,No
27,472,1,1,1,60,1,4298,9679,5,0,6,No
49,1002,18,4,1,92,4,6804,23793,1,7,7,No
34,878,10,4,1,43,3,3815,5972,1,0,5,No
40,905,19,2,1,99,4,2741,16523,8,7,15,No
38,1180,29,1,1,70,1,6673,11354,7,0,17,Yes
29,121,27,3,0,35,4,7639,24525,1,9,10,Yes
22,1136,5,3,1,60,2,2328,12392,1,2,4,No
36,635,18,1,0,73,4,2153,7703,1,7,8,No
40,1151,9,5,1,63,4,4876,14242,9,2,5,No
46,644,1,4,1,97,1,9396,12368,7,3,17,No
32,1045,4,4,1,32,4,10400,25812,1,8,14,Yes
30,829,1,1,1,88,3,8474,20925,1,8,12,No
27,1242,20,3,0,90,3,9981,12916,1,7,7,No
51,1469,8,4,1,81,2,12490,15736,5,7,16,No
30,1005,3,3,0,88,1,2657,8556,5,4,8,Yes
41,896,6,3,0,75,4,13591,14674,3,0,16,No
30,334,26,4,0,52,1,6696,22967,5,1,9,Yes
29,992,1,3,1,85,3,2058,19757,0,5,7,Yes
45,1052,6,3,0,57,4,8865,16840,6,8,23,No
54,1147,3,3,0,52,1,5940,17011,2,5,16,No
36,1396,5,2,1,62,2,5914,9945,8,7,16,No
33,147,4,4,0,47,2,2622,13248,6,1,7,No
37,663,11,3,1,47,4,12185,10056,1,7,10,No
38,119,3,3,1,76,3,10609,9647,0,13,17,No
31,979,1,4,1,90,3,4345,4381,0,4,6,No
59,142,3,3,1,70,4,2177,8456,3,0,7,No
37,319,4,4,1,41,4,2793,2539,4,8,13,No
29,1413,1,1,0,42,4,7918,6599,1,1,11,No
35,944,1,3,0,92,3,8789,9096,1,8,10,No
29,896,18,1,1,86,4,2389,14961,1,1,4,Yes
52,1323,2,3,0,89,4,3212,3300,7,2,6,No
42,532,4,2,1,58,4,19232,4933,1,15,22,No
59,818,6,2,1,52,3,2267,25657,8,2,7,No
50,854,1,4,0,68,4,19517,24118,3,6,32,No
33,813,14,3,1,58,4,2436,22149,5,4,8,Yes
43,1034,16,3,0,80,4,16064,7744,5,9,22,No
33,465,2,2,0,39,1,2707,21509,7,7,13,Yes
52,771,2,4,1,79,3,19068,21030,1,12,33,No
32,1401,4,2,0,56,2,3931,20990,2,2,6,No
32,515,1,3,1,62,3,3730,9571,0,2,4,Yes
39,1431,1,4,0,96,3,2232,15417,7,2,7,No
32,976,26,4,1,100,4,4465,12069,0,2,4,No
41,1411,19,2,1,36,1,3072,19877,2,0,17,No
40,1300,24,2,1,62,4,3319,24447,1,7,9,No
45,252,1,3,1,70,4,19202,15970,0,7,25,No
31,1327,3,4,1,73,3,13675,13523,9,2,9,No
33,832,5,4,0,63,4,2911,14776,1,2,2,No
34,470,2,4,1,84,1,5957,23687,6,9,13,No
37,1017,1,2,0,83,1,3920,18697,2,2,17,No
45,1199,7,4,1,77,3,6434,5118,4,2,9,No
37,504,10,3,1,61,3,10048,22573,6,0,17,Yes
39,505,2,4,0,64,3,10938,6420,0,8,20,No
29,665,15,3,1,60,4,2340,22673,1,5,6,No
42,916,17,2,0,82,1,6545,23016,3,2,10,No
29,1247,20,2,1,45,4,6931,10732,2,2,10,No
25,685,1,3,0,62,3,4898,7505,0,2,5,No
42,269,2,3,0,56,1,2593,8007,0,8,10,No
40,1416,2,2,1,49,3,19436,5949,0,9,22,No
51,833,1,3,1,96,4,2723,23231,1,0,1,No
31,307,29,2,1,71,2,3479,11652,0,4,6,Yes
32,1311,7,3,1,100,2,2794,26062,1,3,5,No
38,1327,2,2,1,39,4,5249,19682,3,5,13,No
32,128,2,1,1,84,1,2176,19737,4,4,9,No
46,488,2,3,0,75,2,16872,14977,3,7,28,No
28,529,2,4,1,79,3,3485,14935,2,0,5,Yes
29,1210,2,3,1,78,2,6644,3687,2,0,10,No
31,1463,23,3,1,64,4,5582,14408,0,8,10,No
25,675,5,2,1,85,1,4000,18384,1,5,6,No
45,1385,20,2,1,65.84941821,4,13496,7501,0,10,21,No
36,1403,6,3,1,47,4,3210,20251,0,11,16,No
55,452,1,3,1,81,1,19045,18938,0,13,37,No
47,666,29,4,1,88,2,11849,10268,1,9,10,Yes
28,1158,9,3,1,94,4,2070,2613,1,4,5,No
37,228,6,4,1,98,4,6502,22825,4,1,7,No
21,996,3,2,1,65.84941821,3,3230,10531,1,0,3,No
37,728,1,4,0,80,4,13603,11677,2,2,15,No
35,1315,22,3,0,71,2,11996,19100,7,2,10,No
38,322,7,2,0,44,1,5605,19191,1,7,8,No
26,1479,1,3,0,84,2,6397,26767,1,4,6,No
50,797,4,1,1,96,2,19144,15815,3,6,28,No
53,1070,3,4,1,45,3,17584,21016,3,3,21,No
42,635,1,1,1,99,3,4907,24532,1,11.7970128,20,No
29,442,2,2,1,44,4,4554,20260,1,9,10,No
55,147,20,2,1,37,4,5415,15972,3,8,12,No
26,496,11,2,1,60,1,4741,22722,1,3,5,No
37,1372,1,3,0,42,4,2115,15881,1,7,17,No
44,920,24,3,1,43,3,3161,19920,3,0,19,Yes
38,688,23,4,1,82,4,5745,18899,9,2,10,No
26,1449,16,4,1,45,2,2373,14180,2,2,5,Yes
28,1117,8,2,0,66,4,3310,4488,1,2,5,No
49,636,10,4,0,35,1,18665,25594,9,2,22,No
36,506,3,3,1,30,2,4485,26285,4,7,10,No
31,444,5,3,0,84,2,2789,3909,1,2,2,No
26,950,4,4,1,48,4,5828,8450,1,4,8,Yes
37,889,9,3,1,53,4,2326,11411,1,2,4,No
42,555,26,3,0,77,2,13525,14864,5,8,23,No
18,230,3,3,1,54,3,1420,25233,1,0,0,Yes
35,1232,16,3,1,96,2,8020,5100,0,9,12,No
36,566,18,4,1,81,4,3688,7122,4,0,4,No
51,1302,2,3,1,84,2,5482,16321,5,2,13,No
41,334,2,4,1,88,2,16015,15896,1,4,22,No
18,812,10,3,0,69,3,1200,9724,1,0,0,No
28,1476,16,2,1,68,1,5661,4824,0,7,9,No
31,218,7,3,1,100,4,6929,12241,4,7,10,No
39,1132,1,3,1,48,4,9613,10942,0,7,19,No
36,1105,24,4,0,47,2,5674,6927,7,8,11,No
32,906,7,3,1,91,3,5484,16985,1,8,13,No
38,849,25,2,0,81,2,12061,26707,3,1,19,No
58,390,1,4,1,32,3,5660,17056,2,2,12,No
31,691,5,4,1,86,4,4821,10077,0,3,6,No
31,106,2,3,1,62,1,6410,17822,3,0,9,No
45,1249,7,3,1,97,1,5210,20308,1,11,24,No
31,192,2,4,1,32,4,2695,7747,0,2,3,No
33,553,5,4,0,74,2,11878,23364,6,8,12,No
39,117,10,1,1,99,1,17068,5355,1,10,21,No
43,185,10,4,0,33,4,2455,10675,0,7,9,No
49,1091,1,2,0,90,3,13964,17810,7,7,25,No
52,723,8,4,1,85,2,4941,17747,2,7,11,Yes
27,1220,5,3,0,85,2,2478,20938,1,2,4,No
32,588,8,2,0,65,2,5228,24624,1,9,13,No
27,1377,2,3,1,74,3,4478,5242,1,4,5,No
31,691,7,3,1,73,4,7547,7143,4,7,13,No
32,1018,2,4,0,74,4,5055,10557,7,7,10,No
28,1157,2,4,1,84,4,3464,24737,5,2,5,Yes
30,1275,28,2,0,64,4,5775,11934,1,9,11,No
31,798,7,2,0,48,3,8943,14034,1,9,10,No
39,672,7,2,1,54,4,19272,21141,1,3,21,No
39,1162,3,2,0,41,3,5238,17778,4,0,12,Yes
33,508,10,3,1,46,4,4682,4317,3,1,9,No
47,1482,5,5,1,42,3,18300,16375,4,1,21,No
43,559,10,4,0,82,3,5257,6227,1,0,9,No
27,210,1,1,1,73,2,6349,22107,0,4,6,No
54,928,20,4,0,31,3,4869,16885,3,3,20,No
43,1001,7,3,0,43,1,9985,9262,8,0,10,No
45,549,8,4,1,75,4,3697,9278,9,8,12,No
40,1124,1,2,1,57,4,7457,13273,2,2,6,No
29,318,8,4,1,77,1,2119,4759,1,7,7,Yes
29,738,9,5,1,30,4,3983,7621,0,2,4,No
30,570,5,3,0,30,3,6118,5431,1,2,10,No
27,1130,8,4,0,56,2,6214,3415,1,7,8,No
37,1192,5,2,1,61,4,6347,23177,7,4,8,No
38,343,15,2,1,92,4,11510,15682,0,9,12,No
31,1232,7,4,0,39,4,7143,25713,1,10,11,No
29,144,10,1,0,39,2,8268,11866,1,7,7,No
35,1296,5,4,1,62,2,8095,18264,0,13,17,No
23,1309,26,1,1,83,4,2904,16092,1,2,4,No
41,483,6,3,1,95,2,6032,10110,6,2,8,No
47,1309,4,1,1,99,3,2976,25751,3,0,5,No
42,810,23,5,0,44,4,15992,15901,2,0,16,No
29,746,2,3,1,61,3,4649,16928,1,2,4,No
42,544,2,1,1,52,3,2696,24017,0,0,4,No
32,1062,2,3,0,75,2,2370,3956,1,7,8,No
48,530,29,1,0,91,3,12504,23978,3,0,15,No
37,1319,6,3,1,51,1,5974,17001,4,7,13,No
30,641,25,2,0,85,3,4736,6069,7,2,4,No
26,933,1,3,1,57,3,5296,20156,1,7,8,No
42,1332,2,4,1,98,4,6781,17078,3,0,14,No
21,756,1,1,0,99,2,2174,9150,1,2,3,Yes
36,845,1,5,0,45,4,6653,15276,4,0,7,No
36,541,3,4,1,48,4,9699,7246,4,12,16,No
57,593,1,4,1,88,3,6755,2967,2,2,15,No
40,1171,10,4,0,46,3,2213,22495,3,7,10,No
21,895,9,2,1,39,4,2610,2851,1,2,3,No
33,350,5,3,0,34,3,2851,9150,1,0,1,Yes
37,921,10,3,0,98,1,3452,17663,6,3,17,No
46,1144,7,4,0,30,3,5258,16044,2,0,7,No
41,143,4,3,1,56,2,9355,9558,1,7,8,Yes
50,1046,10,3,1,100,4,10496,2755,6,3,20,No
40,575,22,2,1,68,3,6380,6110,2,0,8,Yes
31,408,9,4,1,42,2,2657,7551,0,2,3,No
21,156,12,3,0,90,2,2716,25422,1,0,1,Yes
29,1283,23,3,1,54,4,2201,18168,9,2,6,No
35,755,9,4,1,97,2,6540,19394,9,0,10,No
27,1469,1,2,1,82,2,3816,17881,1,4,5,No
28,304,9,4,1,92,4,5253,20750,1,7,7,No
49,1261,7,3,1,31,3,10965,12066,8,0,26,No
51,1178,14,2,0,87,4,4936,14862,4,7,18,No
36,329,2,3,0,96,3,2543,11868,4,2,6,No
34,1362,19,3,1,67,4,5304,4652,8,4,9,Yes
55,1311,2,3,0,97,4,16659,23258,2,2,30,No
24,1371,10,4,0,77,3,4260,5915,1,3,5,No
30,202,2,1,1,72,2,2476,17434,1,0,1,No
26,575,3,1,1,73,1,3102,6582,0,4,7,Yes
22,253,11,3,0,43,2,2244,24440,1,2,2,No
36,164,2,2,1,61,3,7596,3809,1,0,10,No
30,464,4,3,1,40,4,2285,3427,9,0,3,Yes
37,1107,14,3,0,95,1,3034,26914,1,17,18,No
40,759,2,2,0,46,2,5715,22553,7,3,8,No
42,201,1,4,0,95,1,2576,20490,3,2,8,No
37,1305,10,4,1,49,2,4197,21123,2,1,18,No
43,982,12,3,1,59,2,14336,4345,1,9,25,No
40,555,2,3,0,78,3,3448,13436,6,0,20,No
54,821,5,2,1,86,1,19406,8509,4,2,24,No
34,1381,4,4,0,72,3,6538,12740,9,2,6,No
31,480,7,2,0,31,1,4306,4156,1,12,13,No
43,313,21,3,1,61,4,2258,15238,7,2,8,No
43,1473,8,4,0,74,3,4522,2227,4,2,8,No
25,891,4,2,0,99,4,4487,12090,1,3,5,No
37,1063,25,5,0,72,3,4449,23866,3,7,15,No
31,329,1,2,1,98,1,2218,16193,1,2,4,No
39,1218,1,1,1,52,3,19197,8213,1,6,21,No
56,906,6,3,0,86,1,13212,18256,9,7,36,No
30,1082,12,3,0,83,3,6577,19558,0,4,6,No
41,645,1,3,1,49,1,8392,19566,1,7,10,No
28,1300,17,2,1,79,1,4558,13535,1,8,10,No
25,688,3,3,1,91,1,4031,9396,5,2,6,Yes
52,319,3,3,1,39,3,7969,19609,2,4,28,No
45,192,10,2,1,69,4,2654,9655,3,2,8,No
52,1490,4,2,0,30,4,16555,10310,2,4,31,No
42,532,29,2,0,92,3,4556,12932,2,2,19,No
30,317,2,3,0,43,4,6091,24793,2,2,11,No
60,422,7,3,0,41,1,19566,3854,5,10,33,No
46,1485,18,3,0,87,3,4810,26314,2,8,19,No
42,1368,28,4,0,88,4,4523,4386,0,4,7,No
24,1448,1,1,0,62,2,3202,21972,1,4,6,Yes
34,296,6,2,0,33,3,2351,12253,0,0,3,Yes
38,1490,2,2,1,42,4,1702,12106,1,0,1,No
40,1398,2,4,0,79,3,18041,13022,0,12,21,No
26,1349,23,3,0,90,4,2886,3032,1,2,3,No
30,1400,3,3,1,53,4,2097,16734,4,4,9,No
29,986,3,4,1,93,3,11935,21526,1,7,10,No
29,408,25,5,0,71,2,2546,18300,5,1,6,Yes
19,489,2,2,1,52,4,2564,18437,1,0,1,Yes
30,1398,22,4,0,69,1,8412,2890,0,8,10,No
57,210,29,3,1,56,4,14118,22102,3,0,32,No
50,1099,29,4,1,88,3,17046,9314,0,7,28,No
30,1116,2,3,0,49,4,2564,7181,0,7,12,No
60,1499,28,3,0,80,1,10266,2845,4,11,22,No
47,983,2,2,0,65,4,5070,7389,5,4,20,No
46,1009,2,3,1,51,3,17861,2288,6,1,26,No
35,144,22,3,1,46,3,4230,19225,0,3,6,No
54,548,8,4,0,42,3,3780,23428,7,0,19,No
34,1303,2,4,1,62,3,2768,8416,3,7,14,No
46,1125,10,3,0,94,4,9071,11563,2,2,15,No
31,1274,9,1,1,33,2,10648,14394,1,8,13,No
33,1277,15,1,1,56,3,13610,24619,7,7,15,Yes
33,587,10,1,1,38,4,3408,6705,7,3,8,Yes
30,413,7,1,1,57,2,2983,18398,0,2,4,No
35,1276,16,3,1,72,3,7632,14295,4,0,10,No
31,534,20,3,1,66,3,9824,22908,3,0,12,Yes
34,988,23,3,0,43,1,9950,11533,9,2,11,Yes
42,1474,5,2,1,97,3,2093,9260,4,0,8,No
36,635,10,4,1,32,4,9980,15318,1,7,10,No
22,1368,4,1,1,99,3,3894,9129,5,2,4,Yes
48,163,2,5,0,37,4,4051,19658,2,7,14,No
55,1117,18,5,0,83,2,16835,9873,3,7,37,No
41,267,10,2,1,56,4,6230,13430,7,10,16,No
35,619,1,3,1,85,3,4717,18659,9,9,15,No
40,302,6,3,0,75,3,13237,20364,7,13,22,No
39,443,8,1,0,48,3,3755,17872,1,7,8,No
31,828,2,1,1,77,4,6582,8346,4,5,10,No
42,319,24,3,1,56,1,7406,6950,1,8,10,No
45,561,2,3,1,61,2,4805,16177,0,7,9,No
26,426,17,4,0,58,3,2741,22808,0,0,8,Yes
29,232,19,3,1,34,4,4262,22645,4,2,8,No
33,922,1,5,0,95,3,16184,22578,4,5,10,No
31,688,7,3,1,44,4,11557,25291,9,1,10,No
18,1306,5,3,1,69,2,1878,8059,1,0,0,Yes
40,1094,28,3,1,58,1,10932,11373,3,1,20,No
41,509,2,4,0,62,3,6811,2112,2,7,10,No
26,775,29,2,1,45,3,4306,4267,5,0,8,No
35,195,1,3,0,80,3,4859,6698,1,3,5,No
34,258,21,4,1,74,4,5337,19921,1,7,10,No
26,471,24,3,1,66,4,2340,23213,1,0,1,Yes
37,799,1,3,0,59,4,7491,23848,4,2,12,No
46,1034,18,1,0,86,3,10527,8984,5,2,28,No
41,1276,2,5,0,91,1,16595,5626,7,8,22,No
37,142,9,4,1,69,2,8834,24666,1,7,9,No
52,956,6,2,1,78,1,5577,22087,3,9,18,No
32,1474,11,4,1,60,3,4707,23914,8,2,6,Yes
24,535,24,3,1,38,4,2400,5530,0,1,3,No
38,1495,10,3,0,76,3,9824,22174,3,0,18,No
37,446,1,4,0,65,2,6447,15701,6,3,8,No
49,1245,18,4,1,58,3,19502,2125,1,9,31,No
24,691,23,3,1,89,4,2725,21630,1,4,6,No
26,703,28,2,1,66,2,6272,7428,1,4,6,No
24,823,17,2,1,94,2,2127,9100,1,0,1,No
50,1246,3,3,1,99,2,18200,7999,1,7,32,No
25,622,13,1,1,40,3,2096,26376,1,6,7,No
24,1287,7,3,0,55,3,2886,14168,1,2,6,Yes
30,448,12,4,1,74,1,2033,14470,1,0,1,Yes
34,254,1,2,1,83,4,3622,22794,1,3,6,No
